ID_REF,GSM1900227,GSM1900236,GSM1900265,GSM1900268,GSM1900271,GSM1900277,GSM1900280,GSM1900302,GSM1900313,GSM1900314,GSM1900321,GSM1900294,GSM1900315,GSM1900316,GSM1900317,GSM1900318,GSM1900319,GSM1900320,GSM1900323,GSM1900324
7892552,3.764821186,4.841857707,5.001814308,4.107793669,4.172472985,4.692300384,4.603612084,3.94072957,4.640050385,5.057786026,5.123142748,4.929317291,4.756091948,4.500546144,4.426648025,4.494723648,4.686940415,4.960235136,4.661514126,4.228196741
7892553,3.332427927,3.008283281,4.096449758,3.214112162,4.168400812,4.303881618,3.756681528,3.97173561,3.729079658,3.587948238,3.269553762,4.020672095,3.400768582,3.455836897,4.3123127,3.863494293,3.541986702,3.48790172,3.196728782,3.724370626
7892554,4.454343352,4.37808327,4.676859585,3.73351718,4.179748153,4.513631708,4.383612544,3.71811067,3.990630553,4.157426969,3.487129409,3.353934798,3.554626321,4.061721558,3.230941311,3.704279079,4.070367314,4.719460057,4.16329173,3.793281711
7892555,6.04916754,6.645345863,6.463774174,7.012926776,6.507561783,7.329999665,7.178008125,7.18071305,7.066441861,7.58366448,7.493563287,7.346989234,6.544732547,7.509325116,6.919850427,7.346149023,7.490113938,6.914639968,5.938743794,6.695043672
7892556,12.22517433,11.86199094,11.62102608,11.7905413,12.2130655,12.36706115,11.99478122,12.4048025,12.01958241,12.23738037,12.02562083,12.64830118,12.21307514,12.06581103,12.00170798,12.01810745,12.05410529,11.86253776,11.76227456,12.07217677
7892557,2.691073847,2.94279332,2.674456302,3.447120189,2.900030042,3.36349715,3.330778499,3.08009974,4.146982673,3.841953561,3.604259343,2.916725681,2.88178883,3.360387651,3.48921723,4.454062159,4.300401999,3.658652454,3.447421782,3.28556435
7892558,3.97630531,4.135024877,4.523503929,3.917710237,3.97055979,3.483624651,5.093024991,4.24017846,3.516353728,3.434291747,4.010403637,4.318351793,3.978059542,3.549563544,4.122067598,3.550973598,4.052022702,4.393170205,4.265991968,3.56154492
7892559,7.387909644,7.181332603,7.639063433,7.071099785,7.593990343,7.289247244,7.665975693,7.58314912,7.51321628,7.028147369,7.476366497,7.403678721,7.402380021,7.305073826,7.579509185,7.38127282,7.260961444,7.977215191,7.062488075,7.099615403
7892560,5.765996537,5.851908752,6.799730919,6.076121425,5.970979417,5.894694185,6.127052083,6.17805631,5.152136425,5.361906303,5.647929148,5.639553681,5.944524412,5.923618918,6.037354745,5.748131722,5.914415518,5.993668171,6.81041346,5.341587637
7892561,11.17321079,11.16287225,11.3135125,11.1017925,11.10897806,10.9089988,10.81287462,10.7148799,10.99292157,10.65579896,10.55501724,10.69595082,10.97346852,10.94245312,11.04983709,10.69858524,10.97578448,10.63342033,10.91847694,11.22832711
7892562,7.665311951,7.62826508,7.589918087,7.702832367,7.854089751,7.884803725,7.724918475,7.87078969,7.608072495,7.915122508,8.10401048,7.866169045,7.73269597,7.689813747,7.729375434,7.683240838,7.718164408,8.042441243,7.296723005,7.552825736
7892563,8.076562661,7.495233507,7.98244182,7.363176688,7.317938088,7.943892304,7.595730977,7.71483076,7.689343059,7.581745708,8.488232549,7.223708471,8.001649402,7.818434826,7.779617873,7.3859111,8.050647802,8.896141775,7.627907542,7.703611716
7892564,11.00861464,10.7556807,10.76722469,11.34898649,11.24867579,10.9950206,10.90222007,10.6945391,11.12926446,11.2033843,10.88077739,11.24378937,10.89712865,10.93320024,10.5781824,11.16208948,10.8853956,10.76443773,10.91118468,11.19394956
